epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.96449,1.35471,3.67,1.20414,0.49062,0.27448,0.27745,0.1934,0.95475,1.66892,0.90442,7.5e-05,7.5e-05,7.5e-05
2,3.95287,1.2125,1.26414,1.04117,0.78596,0.66641,0.70487,0.47317,1.0309,2.0464,1.00258,0.000160891,0.000160891,0.000160891
3,5.83768,1.15785,0.95427,1.02294,0.79865,0.56616,0.68137,0.42064,1.30863,2.66666,1.15065,0.00024505,0.00024505,0.00024505
4,7.58568,1.10134,0.86401,1.02766,0.66185,0.67552,0.71081,0.4524,1.13792,1.87096,1.05214,0.000327476,0.000327476,0.000327476
5,9.37474,1.03934,0.7513,1.00129,0.79029,0.69572,0.77762,0.51791,1.04073,0.85023,0.99943,0.00040817,0.00040817,0.00040817
6,11.1552,1.07334,0.81629,1.01507,0.75015,0.64331,0.66919,0.43287,1.22959,1.14529,1.13027,0.000487131,0.000487131,0.000487131
7,12.9719,1.10796,0.79035,1.03336,0.70129,0.63339,0.662,0.42456,1.16105,1.20146,1.11034,0.00056436,0.00056436,0.00056436
8,14.7393,1.0359,0.68528,0.99364,0.77319,0.67802,0.73486,0.50183,1.08485,1.13273,1.06401,0.000639856,0.000639856,0.000639856
9,16.4939,1.08994,0.70985,1.01392,0.83064,0.699,0.74274,0.50012,1.05107,0.83554,1.04386,0.00071362,0.00071362,0.00071362
10,18.2794,1.05753,0.71563,1.01103,0.78429,0.63314,0.67319,0.44435,1.06782,1.07532,1.06195,0.000785651,0.000785651,0.000785651
11,20.0112,1.00739,0.66822,0.9898,0.72892,0.68753,0.75339,0.47142,1.1439,0.82078,1.1177,0.00085595,0.00085595,0.00085595
12,21.6879,1.06761,0.71659,1.01247,0.75,0.77406,0.77589,0.4693,1.15418,1.1397,1.12213,0.000924516,0.000924516,0.000924516
13,23.3715,1.10647,0.7236,1.01927,0.76964,0.74257,0.76108,0.48574,1.16055,1.15593,1.11887,0.00099135,0.00099135,0.00099135
14,25.1572,1.10154,0.72316,1.02977,0.79393,0.68322,0.77013,0.50585,1.12537,0.96435,1.10342,0.00105645,0.00105645,0.00105645
15,26.9074,1.05079,0.67394,0.99828,0.78049,0.77722,0.79979,0.53621,1.08013,1.07213,1.0839,0.00107675,0.00107675,0.00107675
16,28.6826,1.05657,0.66056,1.00236,0.8073,0.75722,0.77784,0.52237,1.12256,1.14221,1.07854,0.00106437,0.00106437,0.00106437
17,30.44,1.04069,0.65122,0.99056,0.81753,0.77778,0.79908,0.5323,1.05356,0.99014,1.06099,0.001052,0.001052,0.001052
18,32.1899,0.99214,0.61575,0.97519,0.78625,0.75025,0.78727,0.52857,1.05921,0.96391,1.0744,0.00103962,0.00103962,0.00103962
19,33.9381,1.03498,0.63357,0.99255,0.80659,0.76099,0.78646,0.52044,1.07643,0.78149,1.06881,0.00102725,0.00102725,0.00102725
20,35.7212,0.97848,0.62721,0.9889,0.8114,0.7879,0.80799,0.56821,1.03771,0.80489,1.04121,0.00101488,0.00101488,0.00101488
21,37.5036,1.01166,0.6075,0.98799,0.8406,0.7823,0.80706,0.55713,1.06981,0.8103,1.08347,0.0010025,0.0010025,0.0010025
22,39.2471,1.00189,0.62507,0.98196,0.81386,0.78513,0.81236,0.56526,1.03624,0.81236,1.04488,0.000990125,0.000990125,0.000990125
23,40.9626,1.00841,0.60917,0.98007,0.77579,0.78714,0.78415,0.52956,1.08017,0.88595,1.05431,0.00097775,0.00097775,0.00097775
24,42.6892,0.96652,0.57709,0.95797,0.87762,0.77438,0.81044,0.52137,1.07908,0.87983,1.04693,0.000965375,0.000965375,0.000965375
25,44.4088,0.96856,0.59325,0.9745,0.83033,0.75685,0.80299,0.52437,1.05584,0.86989,1.04861,0.000953,0.000953,0.000953
26,46.1371,0.94434,0.58913,0.96249,0.83686,0.79069,0.81494,0.55637,1.02072,0.80199,1.03344,0.000940625,0.000940625,0.000940625
27,47.8663,0.92465,0.5902,0.96773,0.81555,0.75621,0.74265,0.50845,1.01324,0.81438,1.02752,0.00092825,0.00092825,0.00092825
28,49.6072,0.9327,0.57575,0.95345,0.79165,0.82242,0.8142,0.55683,0.99777,0.76331,1.03372,0.000915875,0.000915875,0.000915875
29,51.3341,0.91376,0.57672,0.95683,0.78672,0.81415,0.80607,0.55647,0.97622,0.68585,1.0102,0.0009035,0.0009035,0.0009035
30,53.057,0.92644,0.56146,0.95487,0.78321,0.72795,0.75189,0.52253,0.9849,0.68923,1.00117,0.000891125,0.000891125,0.000891125
31,54.7859,0.87028,0.55087,0.93709,0.8325,0.76047,0.80643,0.56999,1.00572,0.66191,1.00499,0.00087875,0.00087875,0.00087875
32,56.561,0.89834,0.5628,0.94512,0.79921,0.78435,0.80909,0.57474,0.99054,0.6306,0.99869,0.000866375,0.000866375,0.000866375
33,58.2964,0.90815,0.54859,0.93915,0.84191,0.79432,0.82121,0.56334,0.99775,0.68287,1.00575,0.000854,0.000854,0.000854
34,60.0227,0.89421,0.54175,0.94115,0.79046,0.82217,0.81182,0.55371,1.02277,0.65013,1.01026,0.000841625,0.000841625,0.000841625
35,61.7409,0.87145,0.53928,0.94688,0.78668,0.77736,0.80131,0.56068,0.99721,0.67233,1.01821,0.00082925,0.00082925,0.00082925
36,63.4512,0.85517,0.52387,0.94682,0.88805,0.78603,0.83012,0.58575,0.9924,0.61872,1.01791,0.000816875,0.000816875,0.000816875
37,65.215,0.87499,0.5208,0.93227,0.91682,0.76934,0.83686,0.57182,1.06738,0.66475,1.06031,0.0008045,0.0008045,0.0008045
38,66.9502,0.89371,0.52736,0.93941,0.85789,0.80093,0.84737,0.592,0.99283,0.65337,1.00016,0.000792125,0.000792125,0.000792125
39,68.7119,0.89839,0.52418,0.94338,0.90746,0.7786,0.838,0.56818,1.04248,0.65629,1.0386,0.00077975,0.00077975,0.00077975
40,70.4311,0.87291,0.51804,0.93575,0.87176,0.80445,0.84365,0.58263,1.0274,0.62482,1.01498,0.000767375,0.000767375,0.000767375
41,72.143,0.85963,0.50084,0.92758,0.87103,0.77527,0.83307,0.57398,1.04168,0.67049,1.05272,0.000755,0.000755,0.000755
42,73.8589,0.88509,0.50305,0.92992,0.78268,0.83359,0.82799,0.56171,1.02087,0.65813,1.03997,0.000742625,0.000742625,0.000742625
43,75.5748,0.84118,0.49642,0.9238,0.77219,0.83008,0.82819,0.57247,1.00104,0.62292,1.02132,0.00073025,0.00073025,0.00073025
44,77.2904,0.82648,0.48508,0.92071,0.87322,0.79483,0.84423,0.58132,1.03877,0.61059,1.05049,0.000717875,0.000717875,0.000717875
45,78.9973,0.84674,0.48857,0.92907,0.84859,0.80504,0.85156,0.60631,0.97509,0.57627,1.01625,0.0007055,0.0007055,0.0007055
46,80.7826,0.7656,0.46272,0.9067,0.83034,0.84689,0.84541,0.58717,0.99129,0.57572,1.01793,0.000693125,0.000693125,0.000693125
47,82.5067,0.78514,0.47435,0.91403,0.83974,0.82518,0.82918,0.59133,0.96883,0.55507,1.01123,0.00068075,0.00068075,0.00068075
48,84.2282,0.76905,0.45473,0.91984,0.79309,0.84386,0.815,0.59642,0.95156,0.55977,0.99789,0.000668375,0.000668375,0.000668375
49,85.9298,0.77907,0.46127,0.91413,0.78181,0.8246,0.81283,0.59277,0.96039,0.57263,1.008,0.000656,0.000656,0.000656
50,87.7343,0.77537,0.46245,0.901,0.85122,0.80218,0.82773,0.5907,0.96037,0.57018,1.02009,0.000643625,0.000643625,0.000643625
51,89.4573,0.77897,0.46562,0.90982,0.88666,0.81751,0.85397,0.59671,0.97746,0.57119,1.00664,0.00063125,0.00063125,0.00063125
52,91.1856,0.78561,0.47553,0.90964,0.93082,0.8102,0.85785,0.61265,0.95518,0.54038,1.00235,0.000618875,0.000618875,0.000618875
53,92.9571,0.78256,0.46729,0.9028,0.89091,0.78952,0.82848,0.5995,0.97343,0.55637,1.01087,0.0006065,0.0006065,0.0006065
54,94.6719,0.77148,0.45128,0.90831,0.86317,0.82285,0.8392,0.59714,0.94763,0.5517,0.98766,0.000594125,0.000594125,0.000594125
55,96.3813,0.74009,0.44153,0.89632,0.91241,0.81277,0.84075,0.58399,0.96753,0.5439,0.99531,0.00058175,0.00058175,0.00058175
56,98.1085,0.74882,0.44823,0.89672,0.86018,0.84227,0.85776,0.59279,0.94145,0.56656,0.9985,0.000569375,0.000569375,0.000569375
57,99.7302,0.73461,0.4444,0.90113,0.86257,0.83016,0.85646,0.58181,0.94065,0.53948,1.001,0.000557,0.000557,0.000557
58,101.357,0.74072,0.43473,0.89498,0.87999,0.8036,0.8535,0.58985,0.9555,0.53904,1.00344,0.000544625,0.000544625,0.000544625
59,103.002,0.73469,0.43398,0.88366,0.83594,0.82034,0.83669,0.58054,0.93975,0.55873,1.00228,0.00053225,0.00053225,0.00053225
60,104.644,0.72115,0.42936,0.8845,0.80121,0.82084,0.80886,0.58332,0.92493,0.54976,1.00844,0.000519875,0.000519875,0.000519875
61,106.272,0.72744,0.44128,0.88511,0.80976,0.82806,0.81743,0.5921,0.93363,0.5285,1.0108,0.0005075,0.0005075,0.0005075
62,107.935,0.72741,0.4346,0.89834,0.81804,0.82045,0.81585,0.59458,0.94903,0.5298,1.00587,0.000495125,0.000495125,0.000495125
63,109.62,0.70044,0.42765,0.88876,0.92442,0.82852,0.85079,0.60155,0.93447,0.51947,0.99722,0.00048275,0.00048275,0.00048275
64,111.329,0.70481,0.42591,0.88337,0.86515,0.85301,0.86261,0.60851,0.94418,0.54143,1.00362,0.000470375,0.000470375,0.000470375
65,112.973,0.68016,0.41135,0.87843,0.84525,0.84273,0.86551,0.6146,0.94119,0.54686,0.99828,0.000458,0.000458,0.000458
66,114.668,0.71122,0.41678,0.87986,0.89153,0.82002,0.85666,0.6174,0.93878,0.54757,0.99906,0.000445625,0.000445625,0.000445625
