epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2156,1.87392,3.32733,1.06704,0.66392,0.46154,0.53187,0.25818,1.79671,1.86924,1.04611,0.000658915,0.000658915,0.000658915
2,32.5742,1.92105,1.91597,1.01163,0.54782,0.51692,0.4946,0.20108,2.05668,2.12005,1.10089,0.00131246,0.00131246,0.00131246
3,48.8139,1.92182,1.90115,1.03296,0.4091,0.49538,0.42019,0.16043,2.21552,11.5686,1.11572,0.0019528,0.0019528,0.0019528
4,65.0217,1.93673,2.35085,1.03393,0.08548,0.50769,0.06528,0.02895,1.86434,10.7645,1.02668,0.0019406,0.0019406,0.0019406
5,81.1857,1.85832,1.76611,0.98157,0.70834,0.50462,0.57911,0.26141,1.77313,1.83744,1.00599,0.0019208,0.0019208,0.0019208
6,97.1851,1.83046,1.6648,0.9992,0.65184,0.47814,0.52701,0.25421,1.81679,2.61442,1.04749,0.001901,0.001901,0.001901
7,113.641,1.79842,1.60954,1.00955,0.63724,0.55077,0.57143,0.24633,1.86167,1.95812,1.00731,0.0018812,0.0018812,0.0018812
8,129.668,1.7618,1.55641,0.96805,0.62082,0.49538,0.56022,0.29339,1.65281,1.68367,0.99797,0.0018614,0.0018614,0.0018614
9,145.186,1.735,1.53118,0.97611,0.64084,0.44923,0.49865,0.18427,2.08249,1.7643,1.0407,0.0018416,0.0018416,0.0018416
10,161.176,1.69636,1.44702,0.96322,0.66851,0.62154,0.65798,0.32824,1.721,1.7835,0.97735,0.0018218,0.0018218,0.0018218
11,177.302,1.72708,1.4441,0.97024,0.77664,0.61846,0.70017,0.34391,1.66664,1.33664,0.97949,0.001802,0.001802,0.001802
12,193.391,1.61396,1.3317,0.94617,0.72111,0.51385,0.56662,0.23206,1.9248,2.03769,1.01164,0.0017822,0.0017822,0.0017822
13,209.462,1.62294,1.31348,0.95176,0.80085,0.61846,0.69601,0.36259,1.61225,1.23583,0.95752,0.0017624,0.0017624,0.0017624
14,225.453,1.61636,1.27739,0.95483,0.82649,0.61557,0.73605,0.39745,1.58403,1.47616,0.96602,0.0017426,0.0017426,0.0017426
15,241.379,1.62458,1.23584,0.94124,0.75381,0.56527,0.64115,0.31104,1.7086,1.80529,0.99854,0.0017228,0.0017228,0.0017228
16,257.376,1.61345,1.22715,0.94353,0.79829,0.62154,0.70437,0.37158,1.64353,1.23558,0.97887,0.001703,0.001703,0.001703
17,273.306,1.54554,1.15637,0.93588,0.79389,0.75385,0.78599,0.41992,1.53323,1.29746,0.93688,0.0016832,0.0016832,0.0016832
18,289.257,1.57743,1.15305,0.93789,0.83717,0.71189,0.79038,0.41502,1.62366,1.09598,0.97411,0.0016634,0.0016634,0.0016634
19,305.219,1.53314,1.13442,0.92646,0.82023,0.68,0.77237,0.4155,1.56841,1.13234,0.96452,0.0016436,0.0016436,0.0016436
20,321.108,1.55275,1.16018,0.94498,0.73224,0.60308,0.64092,0.28253,1.72397,1.34188,0.96728,0.0016238,0.0016238,0.0016238
21,337.024,1.53173,1.09691,0.93429,0.78695,0.64784,0.73619,0.37125,1.61041,1.24755,0.96368,0.001604,0.001604,0.001604
22,353.047,1.49835,1.12619,0.94473,0.89402,0.64,0.77164,0.39534,1.56556,1.26426,0.95726,0.0015842,0.0015842,0.0015842
23,368.933,1.46705,1.05967,0.94217,0.81863,0.65538,0.75991,0.38968,1.62857,1.13535,0.97267,0.0015644,0.0015644,0.0015644
24,384.78,1.46089,1.05108,0.92659,0.83996,0.69444,0.77152,0.40396,1.56971,1.445,0.96242,0.0015446,0.0015446,0.0015446
25,400.635,1.464,1.005,0.91144,0.83231,0.65671,0.77551,0.42977,1.5144,1.19795,0.9458,0.0015248,0.0015248,0.0015248
26,417.07,1.47084,1.04776,0.93504,0.76219,0.71077,0.76677,0.39616,1.63904,1.19193,0.97028,0.001505,0.001505,0.001505
27,432.503,1.44097,0.98177,0.89936,0.81512,0.75692,0.81016,0.43778,1.46539,1.08028,0.94622,0.0014852,0.0014852,0.0014852
28,450.101,1.44827,0.95755,0.9029,0.83404,0.75768,0.82718,0.44946,1.4917,1.08612,0.94612,0.0014654,0.0014654,0.0014654
29,467.187,1.41676,0.95122,0.9122,0.81773,0.76923,0.8406,0.45224,1.46409,1.01421,0.939,0.0014456,0.0014456,0.0014456
30,485.004,1.40558,0.93674,0.91813,0.81145,0.69846,0.76659,0.37274,1.68591,1.04559,0.94807,0.0014258,0.0014258,0.0014258
31,502.78,1.40645,0.92997,0.91596,0.81098,0.73231,0.79703,0.42726,1.46158,1.2708,0.93603,0.001406,0.001406,0.001406
32,520.261,1.43931,0.92438,0.91256,0.84196,0.75404,0.82558,0.47384,1.4174,1.01384,0.93791,0.0013862,0.0013862,0.0013862
33,537.924,1.38136,0.923,0.90288,0.85461,0.73538,0.82776,0.46881,1.45485,1.01512,0.94472,0.0013664,0.0013664,0.0013664
34,554.324,1.39401,0.93919,0.91029,0.87184,0.76615,0.8469,0.46537,1.50001,0.9795,0.95003,0.0013466,0.0013466,0.0013466
35,570.644,1.40942,0.9206,0.91357,0.86219,0.71692,0.81868,0.44083,1.55054,1.06027,0.95753,0.0013268,0.0013268,0.0013268
36,586.78,1.39205,0.90029,0.89886,0.82963,0.78462,0.8528,0.47496,1.44393,0.89086,0.93263,0.001307,0.001307,0.001307
37,602.96,1.37805,0.86672,0.90549,0.9046,0.75859,0.85016,0.45317,1.48279,0.95295,0.92825,0.0012872,0.0012872,0.0012872
38,619.187,1.33448,0.8485,0.89356,0.87303,0.75077,0.8428,0.49058,1.40817,0.95715,0.9355,0.0012674,0.0012674,0.0012674
39,634.767,1.34239,0.85151,0.88244,0.90226,0.71006,0.83337,0.46854,1.41727,1.03669,0.94096,0.0012476,0.0012476,0.0012476
40,650.811,1.3788,0.83713,0.90129,0.85218,0.745,0.83671,0.4518,1.50936,0.95415,0.95245,0.0012278,0.0012278,0.0012278
41,666.208,1.35609,0.82805,0.88604,0.89152,0.7333,0.82788,0.47401,1.42657,1.05652,0.95656,0.001208,0.001208,0.001208
42,681.4,1.34477,0.80882,0.89282,0.9114,0.72797,0.83976,0.46828,1.46103,0.89946,0.94854,0.0011882,0.0011882,0.0011882
43,696.739,1.30843,0.76786,0.89238,0.88775,0.7544,0.84497,0.46167,1.50305,0.93963,0.94012,0.0011684,0.0011684,0.0011684
44,712.459,1.26928,0.77988,0.8842,0.93614,0.72923,0.86148,0.49954,1.41566,0.90211,0.938,0.0011486,0.0011486,0.0011486
45,729.131,1.29268,0.76722,0.88725,0.89904,0.73538,0.85179,0.47313,1.43053,0.91731,0.92797,0.0011288,0.0011288,0.0011288
46,744.63,1.29686,0.77913,0.87432,0.9144,0.75692,0.87875,0.50913,1.3761,0.9178,0.93689,0.001109,0.001109,0.001109
47,760.356,1.27322,0.74916,0.88268,0.93351,0.70462,0.85124,0.47596,1.45832,0.94582,0.93359,0.0010892,0.0010892,0.0010892
48,776.124,1.30051,0.74676,0.89057,0.88027,0.76615,0.85817,0.50584,1.38446,0.90267,0.92531,0.0010694,0.0010694,0.0010694
49,791.662,1.25788,0.73337,0.88839,0.9347,0.75077,0.87174,0.50052,1.41385,0.83722,0.92649,0.0010496,0.0010496,0.0010496
50,807.516,1.24305,0.71403,0.88749,0.89959,0.75385,0.87255,0.50953,1.42966,0.8802,0.94435,0.0010298,0.0010298,0.0010298
51,823.196,1.27427,0.71844,0.87481,0.84541,0.7572,0.83267,0.42999,1.56997,1.04553,0.9571,0.00101,0.00101,0.00101
52,838.764,1.23489,0.73708,0.86825,0.88902,0.74462,0.84866,0.43923,1.61408,0.89485,0.95585,0.0009902,0.0009902,0.0009902
53,854.065,1.25507,0.69936,0.87485,0.92869,0.76134,0.88379,0.5072,1.42645,0.83248,0.9323,0.0009704,0.0009704,0.0009704
54,869.426,1.2528,0.70878,0.87699,0.88169,0.77538,0.8705,0.50765,1.38002,0.90101,0.93254,0.0009506,0.0009506,0.0009506
55,885.005,1.25046,0.71326,0.88019,0.88906,0.78908,0.88155,0.49197,1.46131,0.86874,0.93159,0.0009308,0.0009308,0.0009308
56,900.655,1.24227,0.71051,0.8741,0.87007,0.78295,0.85734,0.46037,1.52363,0.88486,0.93606,0.000911,0.000911,0.000911
57,916.358,1.2422,0.68523,0.87693,0.89783,0.79077,0.87322,0.52226,1.41862,0.89688,0.93172,0.0008912,0.0008912,0.0008912
58,932.15,1.1986,0.66102,0.87702,0.89852,0.79692,0.8716,0.52087,1.37667,0.92659,0.92457,0.0008714,0.0008714,0.0008714
59,947.746,1.21476,0.65589,0.86589,0.90664,0.8,0.88186,0.51462,1.3704,0.86381,0.91509,0.0008516,0.0008516,0.0008516
60,963.397,1.16761,0.64922,0.86306,0.89078,0.80615,0.88242,0.53097,1.33479,0.84799,0.91633,0.0008318,0.0008318,0.0008318
61,979.353,1.19594,0.65003,0.85921,0.89577,0.81977,0.89427,0.54195,1.35678,0.83044,0.92602,0.000812,0.000812,0.000812
62,995.335,1.22508,0.64492,0.86834,0.93793,0.76308,0.8761,0.50021,1.4227,0.88332,0.9345,0.0007922,0.0007922,0.0007922
63,1011.4,1.19425,0.65863,0.867,0.91164,0.79367,0.88268,0.52425,1.37763,0.85952,0.92231,0.0007724,0.0007724,0.0007724
64,1027.08,1.18476,0.63807,0.86955,0.94932,0.73538,0.8772,0.48655,1.47291,0.8955,0.93802,0.0007526,0.0007526,0.0007526
