epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.22191,2.93971,11.2453,0.70636,6.77344,2.92634,0,0,0,0,0,0,0,0,3.71705,11.9055,0.68801,24.3197,3.30626,2e-05,2e-05,2e-05
2,1.89327,2.74011,10.3089,0.70934,6.54484,2.87045,0,0,0,0,0,0,0,0,3.74233,11.9023,0.68793,24.4914,3.32855,5.9406e-05,5.9406e-05,5.9406e-05
3,2.54077,2.90664,10.2531,0.71017,7.13324,2.87766,0.80618,0.5,0.695,0.37398,0,0,0,0,2.09359,11.5517,0.68702,1.62261,2.39098,9.802e-05,9.802e-05,9.802e-05
4,3.3673,1.53739,10.3565,0.7035,1.79239,1.80698,0.9545,1,0.995,0.72977,0,0,0,0,0.78156,11.6089,0.68254,1.07739,1.12559,0.000135842,0.000135842,0.000135842
5,4.18252,1.31366,10.226,0.68908,1.11977,1.66993,0.98169,1,0.995,0.8955,0,0,0,0,0.8682,11.7455,0.68909,0.62505,1.30993,0.000172872,0.000172872,0.000172872
6,4.99171,0.849,10.3444,0.68335,0.71141,1.22608,0.98208,1,0.995,0.82146,0,0,0,0,0.77476,11.8196,0.68118,0.46495,1.2793,0.00020911,0.00020911,0.00020911
7,5.74004,0.7949,10.9739,0.65049,0.56942,1.28691,0.98263,1,0.995,0.84805,0,0,0,0,1.04689,11.5385,0.6841,0.6573,1.6115,0.000244556,0.000244556,0.000244556
8,6.49202,0.76655,10.2655,0.66646,0.58249,1.24456,0.95571,1,0.995,0.92344,0,0,0,0,0.44658,11.2662,0.69388,0.73629,0.80579,0.00027921,0.00027921,0.00027921
9,7.24422,1.13513,11.0548,0.66541,0.7781,1.47035,0.96954,1,0.995,0.648,0,0,0,0,1.53293,11.4121,0.686,0.72605,2.54684,0.000313072,0.000313072,0.000313072
10,7.94919,0.99663,10.8444,0.6549,0.66997,1.37832,0.97112,1,0.995,0.84833,0,0,0,0,0.98195,11.1282,0.68205,0.6598,2.11299,0.000346142,0.000346142,0.000346142
11,8.65723,1.03641,10.8796,0.6496,0.66079,1.33037,0.98288,1,0.995,0.67337,0,0,0,0,0.98843,11.0349,0.67253,0.63994,1.97178,0.00037842,0.00037842,0.00037842
12,9.36085,0.99163,10.182,0.64633,0.55315,1.3242,0.98263,1,0.995,0.74648,0,0,0,0,1.14342,11.5512,0.66692,0.57293,1.94774,0.000409906,0.000409906,0.000409906
13,10.0773,1.05141,10.6069,0.6405,0.64124,1.31706,0.4946,1,0.995,0.6965,0,0,0,0,1.53855,11.6262,0.65637,1.753,2.51341,0.0004406,0.0004406,0.0004406
14,10.8063,0.85067,10.2844,0.62735,0.55632,1.24759,0.96271,1,0.995,0.6965,0,0,0,0,1.40375,10.9848,0.64996,1.28763,2.19859,0.000470502,0.000470502,0.000470502
15,11.5417,0.8378,10.1516,0.61368,0.64754,1.23404,0.94875,1,0.995,0.84607,0,0,0,0,1.0336,11.0856,0.64107,1.11076,1.59475,0.000499612,0.000499612,0.000499612
16,12.2465,0.68293,10.3912,0.60069,0.57634,1.21091,0.95476,1,0.995,0.84598,0,0,0,0,0.97674,11.2911,0.61375,1.43545,1.69816,0.00052793,0.00052793,0.00052793
17,12.9252,0.7028,11.014,0.60914,0.50985,1.14467,0.95686,1,0.995,0.4975,0,0,0,0,1.75333,11.3193,0.60135,1.30093,2.60009,0.000555456,0.000555456,0.000555456
18,13.627,0.84754,9.26182,0.60004,0.68637,1.27094,0.9754,1,0.995,0.52271,0,0,0,0,1.81862,10.4814,0.61571,1.04605,3.80564,0.00058219,0.00058219,0.00058219
19,14.3567,0.83652,10.3403,0.6015,0.66471,1.18245,0.90748,1,0.995,0.30027,0,0,0,0,2.31721,10.726,0.62655,1.46187,3.24601,0.000608132,0.000608132,0.000608132
