epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.91342,1.76643,4.4054,1.56318,0.55748,0.06973,0.09119,0.05202,1.36609,3.30917,1.30882,5.383e-05,5.383e-05,5.383e-05
2,3.77227,1.45186,2.7149,1.29771,0.26783,0.19133,0.20101,0.13619,1.24436,1.87773,1.24455,0.000114208,0.000114208,0.000114208
3,5.5667,1.34031,1.5373,1.22177,0.64334,0.23484,0.27169,0.18041,1.26419,1.28885,1.23196,0.000173368,0.000173368,0.000173368
4,7.33811,1.38509,1.52574,1.25778,0.60986,0.35085,0.33848,0.2178,1.20367,1.31167,1.18973,0.00023131,0.00023131,0.00023131
5,9.1245,1.21965,1.15456,1.13043,0.7203,0.47338,0.4541,0.28369,1.15706,1.16657,1.14389,0.000288034,0.000288034,0.000288034
6,10.9292,1.23293,1.01958,1.13415,0.63894,0.50744,0.50082,0.31145,1.11963,1.2216,1.12478,0.000343539,0.000343539,0.000343539
7,12.7077,1.16999,0.99726,1.12106,0.40445,0.65278,0.55095,0.35007,1.14327,1.06358,1.12813,0.000397827,0.000397827,0.000397827
8,14.4632,1.11041,0.9359,1.09004,0.56223,0.66206,0.59177,0.38726,1.13176,1.04827,1.11705,0.000450896,0.000450896,0.000450896
9,16.2631,1.10951,0.89037,1.07425,0.55165,0.71262,0.6412,0.39496,1.14169,1.0943,1.12701,0.000502748,0.000502748,0.000502748
10,18.0278,1.13435,0.9263,1.09644,0.50292,0.71459,0.66598,0.40871,1.11383,1.03326,1.09084,0.000553381,0.000553381,0.000553381
11,19.7972,1.06877,0.79154,1.02664,0.74314,0.61101,0.67926,0.43968,1.13172,1.00348,1.10517,0.000602796,0.000602796,0.000602796
12,21.5476,1.08986,0.83392,1.07223,0.59129,0.71203,0.68176,0.43828,1.14814,1.03669,1.12392,0.000650993,0.000650993,0.000650993
13,23.2544,1.05922,0.78442,1.03892,0.7693,0.63918,0.73812,0.48096,1.13789,0.8831,1.12293,0.000677643,0.000677643,0.000677643
14,25.0129,1.03923,0.76116,1.01501,0.71835,0.71922,0.76812,0.50274,1.12534,0.90448,1.1241,0.00067003,0.00067003,0.00067003
15,26.7903,1.03821,0.73887,1.04433,0.69773,0.73572,0.76757,0.49622,1.09476,0.86161,1.0952,0.000662417,0.000662417,0.000662417
16,28.5205,0.98746,0.74146,1.02642,0.67252,0.70941,0.7255,0.47545,1.13765,0.86959,1.15187,0.000654804,0.000654804,0.000654804
17,30.2489,1.00153,0.69662,0.9999,0.68055,0.74895,0.72876,0.47404,1.07692,0.8604,1.09473,0.00064719,0.00064719,0.00064719
18,31.9712,0.9554,0.71109,1.00534,0.78515,0.75755,0.785,0.49771,1.08315,0.81596,1.08827,0.000639577,0.000639577,0.000639577
19,33.6907,0.98011,0.69609,1.01237,0.74183,0.75405,0.80417,0.53319,1.06204,0.79125,1.10156,0.000631964,0.000631964,0.000631964
20,35.4783,0.98277,0.66841,0.99113,0.7494,0.76082,0.82858,0.56103,1.05735,0.75923,1.08926,0.000624351,0.000624351,0.000624351
21,37.2668,0.96866,0.69269,1.00497,0.80959,0.78477,0.82175,0.54986,1.04544,0.7564,1.07306,0.000616738,0.000616738,0.000616738
22,39.0018,0.94864,0.62447,0.96708,0.71481,0.79199,0.80825,0.55058,1.05515,0.73288,1.07283,0.000609125,0.000609125,0.000609125
23,40.7302,0.94615,0.65775,1.01095,0.76899,0.74717,0.79859,0.5251,1.09474,0.76723,1.08791,0.000601512,0.000601512,0.000601512
24,42.4609,0.94661,0.60262,0.98321,0.71739,0.80439,0.80981,0.5372,1.0634,0.74424,1.08167,0.000593899,0.000593899,0.000593899
25,44.1888,0.97235,0.61696,0.97784,0.78143,0.81339,0.82608,0.55037,1.03201,0.71814,1.06312,0.000586286,0.000586286,0.000586286
26,45.9193,0.93141,0.60769,0.96183,0.78192,0.82748,0.81876,0.55974,0.99324,0.71939,1.05072,0.000578672,0.000578672,0.000578672
27,47.6428,0.90756,0.58879,0.95735,0.75371,0.82319,0.82176,0.54916,1.05274,0.7354,1.08282,0.000571059,0.000571059,0.000571059
28,49.3625,0.90072,0.58737,0.97484,0.7709,0.82254,0.82604,0.55918,1.03038,0.70738,1.07397,0.000563446,0.000563446,0.000563446
29,51.0861,0.84925,0.56803,0.9628,0.84997,0.80662,0.83369,0.5743,1.00775,0.68386,1.05574,0.000555833,0.000555833,0.000555833
30,52.8734,0.86764,0.57436,0.95837,0.83304,0.81921,0.83653,0.57362,1.03229,0.67739,1.07681,0.00054822,0.00054822,0.00054822
31,54.5982,0.84475,0.53842,0.93455,0.85183,0.75455,0.8258,0.5593,1.01545,0.70483,1.0721,0.000540607,0.000540607,0.000540607
32,56.3151,0.86081,0.55539,0.94634,0.8386,0.79639,0.83679,0.54723,1.02396,0.69325,1.07145,0.000532994,0.000532994,0.000532994
33,58.0392,0.86384,0.54522,0.93596,0.83554,0.77699,0.8468,0.57144,1.01606,0.69803,1.06615,0.000525381,0.000525381,0.000525381
34,59.7537,0.87188,0.54621,0.95162,0.847,0.76262,0.83879,0.56843,1.01091,0.68214,1.055,0.000517768,0.000517768,0.000517768
35,61.4744,0.8365,0.56815,0.9539,0.84453,0.78924,0.83866,0.56993,1.01564,0.68265,1.06335,0.000510155,0.000510155,0.000510155
