epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.899394,1.2158,11.5163,0.7193,0.79349,1.638,0.98919,1,0.995,0.69813,0,0,0,0,1.36418,11.5636,0.6913,0.83017,1.35655,2e-05,2e-05,2e-05
2,1.62891,1.30996,11.2551,0.72789,0.81774,1.62214,0.98979,1,0.995,0.69807,0,0,0,0,1.36268,11.564,0.69138,0.82301,1.36756,5.9406e-05,5.9406e-05,5.9406e-05
3,2.30637,1.13793,11.0871,0.71932,0.81005,1.59162,0.96541,1,0.995,0.84975,0,0,0,0,0.73897,11.6004,0.69028,0.46873,0.87403,9.802e-05,9.802e-05,9.802e-05
4,3.22365,0.79289,11.3633,0.70299,0.53144,1.32368,0.99085,1,0.995,0.83471,0,0,0,0,0.88507,11.6344,0.68935,0.54341,0.94814,0.000135842,0.000135842,0.000135842
5,4.06268,0.71556,11.3655,0.68592,0.4531,1.1101,0.99454,1,0.995,0.83167,0,0,0,0,0.86823,11.5892,0.68663,0.50662,0.94025,0.000172872,0.000172872,0.000172872
6,4.94478,0.59227,11.3587,0.66845,0.38386,1.0137,0.99439,1,0.995,0.87939,0,0,0,0,0.92553,11.5686,0.68195,0.45914,1.02835,0.00020911,0.00020911,0.00020911
7,5.88044,0.60757,10.8864,0.6585,0.40773,1.05986,0.99451,1,0.995,0.84631,0,0,0,0,0.99672,11.5956,0.67826,0.44336,1.05773,0.000244556,0.000244556,0.000244556
8,6.72517,0.5541,10.8124,0.65096,0.40916,1.08463,0.99381,1,0.995,0.88556,0,0,0,0,0.88569,11.5381,0.67587,0.47804,0.94267,0.00027921,0.00027921,0.00027921
9,7.58393,0.56144,11.0526,0.65733,0.40011,1.04764,0.99275,1,0.995,0.91087,0,0,0,0,0.81014,11.5205,0.6748,0.5171,0.88633,0.000313072,0.000313072,0.000313072
10,8.45517,0.51592,10.8419,0.64666,0.42843,1.06381,0.98749,1,0.995,0.91384,0,0,0,0,0.69644,11.4969,0.674,0.42885,0.80815,0.000346142,0.000346142,0.000346142
